日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,交易所代码,TickFlow代码
2026-05-20,000300,沪深300,CSI 300,688009,中国通号,China Railway Signal & Communication Corporation Limited,上海证券交易所,Shanghai Stock Exchange,SH,688009.SH
2026-05-20,000300,沪深300,CSI 300,688012,中微公司,Advanced Micro-Fabrication Equipment Inc. China,上海证券交易所,Shanghai Stock Exchange,SH,688012.SH
2026-05-20,000300,沪深300,CSI 300,688036,传音控股,"SHENZHEN TRANSSION HOLDINGS CO., LTD.",上海证券交易所,Shanghai Stock Exchange,SH,688036.SH
2026-05-20,000300,沪深300,CSI 300,688041,海光信息,"Hygon Information Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,SH,688041.SH
2026-05-20,000300,沪深300,CSI 300,688047,龙芯中科,Loongson Technology Corporation Limited,上海证券交易所,Shanghai Stock Exchange,SH,688047.SH
2026-05-20,000300,沪深300,CSI 300,688082,盛美上海,"ACM Research (Shanghai) ,Inc.",上海证券交易所,Shanghai Stock Exchange,SH,688082.SH
2026-05-20,000300,沪深300,CSI 300,688111,金山办公,"Beijing Kingsoft Office Software, Inc.",上海证券交易所,Shanghai Stock Exchange,SH,688111.SH
2026-05-20,000300,沪深300,CSI 300,688126,沪硅产业,"National Silicon Industry Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,SH,688126.SH
2026-05-20,000300,沪深300,CSI 300,688169,石头科技,"Beijing Roborock Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,SH,688169.SH
2026-05-20,000300,沪深300,CSI 300,688187,时代电气,"Zhuzhou CRRC Times Electric Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,SH,688187.SH
2026-05-20,000300,沪深300,CSI 300,688223,晶科能源,"Jinko Solar Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,SH,688223.SH
2026-05-20,000300,沪深300,CSI 300,688256,寒武纪,Cambricon Technologies Corporation Limited,上海证券交易所,Shanghai Stock Exchange,SH,688256.SH
2026-05-20,000300,沪深300,CSI 300,688271,联影医疗,"Shanghai United Imaging Healthcare Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,SH,688271.SH
2026-05-20,000300,沪深300,CSI 300,688303,大全能源,"XinJiang Daqo New Energy Co.,Ltd",上海证券交易所,Shanghai Stock Exchange,SH,688303.SH
2026-05-20,000300,沪深300,CSI 300,688396,华润微,China Resources Microelectronics Limited,上海证券交易所,Shanghai Stock Exchange,SH,688396.SH
2026-05-20,000300,沪深300,CSI 300,688472,阿特斯,"CSI Solar Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,SH,688472.SH
2026-05-20,000300,沪深300,CSI 300,688506,百利天恒,"Sichuan Biokin Pharmaceutical Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,SH,688506.SH
2026-05-20,000300,沪深300,CSI 300,688981,中芯国际,Semiconductor Manufacturing International Corporation,上海证券交易所,Shanghai Stock Exchange,SH,688981.SH
