date,symbol
2026-05-21,"['002601', '600741', '601166', '601607', '600438', '601136', '601633', '601211', '601012', '601788', '300413', '300122', '300498']"
2026-05-21,"['002601', '600741', '601166', '601607', '600438', '601136', '601633', '601211', '601012', '601788', '300413', '300122', '300498']"
2026-05-28,"['002601', '601136', '601012', '601919', '601788', '601211', '600438', '300122', '300498', '600161', '601808', '300251', '601607']"
2026-05-28,"['601136', '002601', '601211', '601012', '601919', '600438', '601788', '300122', '300498', '601607', '600161', '601808', '300251']"
